source,target,weight
29,8419602,9
29,9469519,1
29,8980589,2
29,4195012,4
29,4230749,2
29,8413663,3
29,4414163,1
29,4414184,5
29,3299214,2
29,9525492,2
29,4415241,1
29,4982172,6
29,9556700,2
29,16846805,1
29,3234817,5
29,8891315,2
29,16758011,1
29,5019924,1
29,7802210,2
29,4241237,5
29,7828725,1
29,4381129,1
29,8509987,8
29,10163418,6
29,8792120,3
29,9730873,3
29,9796812,2
29,8427677,7
29,7840791,2
29,8274902,6
29,7897469,3
29,3347834,4
29,3886356,3
29,9847388,2
29,5966099,3
29,9531722,4
29,7838405,2
29,4598363,3
29,4381377,3
29,10259967,2
29,2506050,1
29,7901791,4
29,16720240,1
29,3522293,4
29,7616956,7
29,4103336,1
29,9897223,1
29,9741463,1
29,8723397,2
29,7690945,4
29,15592096,2
29,7868195,1
29,8835968,2
29,3890028,1
29,7196392,3
29,11524047,4
29,7891312,4
29,8689674,1
29,4444354,2
29,15617305,5
29,3813487,1
29,8924186,1
29,5836181,2
29,4414426,2
29,16625432,2
29,4884579,2
29,8504660,1
29,7057894,2
29,8338584,2
29,9511772,1
29,8066542,2
29,6611894,4
29,9813188,1
29,7840203,2
29,8957325,2
29,9707941,2
29,9809626,1
29,7829784,1
29,16850888,1
29,5836163,2
29,4230061,1
29,5835815,1
29,8559607,1
29,12475432,1
29,11813287,1
29,16795524,1
29,16795838,1
8419602,3234817,10
8419602,4414426,2
8419602,10163418,2
8419602,4230749,2
8419602,8338584,2
8419602,4195012,2
8419602,4381377,3
8419602,4598363,9
8419602,11524047,4
8419602,16846805,2
8419602,4884579,2
8419602,5836181,3
8419602,5836197,2
8419602,8559607,5
8419602,8850802,2
8419602,29,6
8419602,4241237,3
8419602,9847388,2
8419602,7829784,2
8419602,8274902,7
8419602,9469519,3
8419602,16240569,2
8419602,17013073,2
8419602,8068173,3
8419602,7616956,9
8419602,9809626,1
8419602,9766793,2
8419602,16797672,1
8419602,6611894,2
8419602,9525492,3
8419602,8094859,5
8419602,5835799,5
8419602,5019924,1
8419602,3587612,2
8419602,4229950,2
8419602,12871993,1
8419602,3347834,9
8419602,9707941,1
8419602,7840203,1
8419602,10056280,2
8419602,7897469,4
8419602,8835968,2
8419602,8980589,5
8419602,7891312,5
8419602,8413663,3
8419602,8066542,1
8419602,9531722,4
8419602,5836206,3
8419602,9556700,2
8419602,3497901,2
8419602,3890028,1
8419602,4230739,2
8419602,7690945,1
8419602,7868195,2
8419602,9730873,4
8419602,8891315,4
8419602,2506050,2
8419602,7901791,1
8419602,3522293,2
8419602,5966099,1
8419602,3886356,1
8419602,4227544,1
8419602,8798010,1
8419602,15421363,1
8419602,7802210,2
8419602,5836035,2
8419602,10809383,1
8419602,4415241,1
8419602,7838405,1
8419602,4919895,1
8419602,8997281,2
8419602,7057894,1
8419602,15617305,2
8419602,4235139,1
8419602,7196392,1
8419602,9897223,1
8419602,4982172,1
8419602,4414184,3
8419602,3299214,1
8419602,16850888,1
8419602,10259967,1
8419602,7840791,1
8419602,3664102,1
8419602,4241192,1
8419602,4414163,4
8419602,4381129,1
8419602,9609048,1
8419602,8244823,1
9469519,11605861,4
9469519,16486385,7
9469519,10293348,2
9469519,8310955,1
9469519,9015568,5
9469519,11248536,1
9469519,17822238,51
9469519,12813847,25
9469519,17125520,8
9469519,17437719,9
9469519,17379372,6
9469519,3932136,1
9469519,17438424,15
9469519,4067286,10
9469519,20443501,1
9469519,15606239,3
9469519,8065771,4
9469519,11178891,11
9469519,2963280,5
9469519,15676571,2
9469519,8565131,3
9469519,8094859,3
9469519,7555968,2
9469519,16295025,2
9469519,8069432,2
9469519,8451818,1
9469519,8203947,1
9469519,17980792,1
9469519,8307514,1
9469519,9585145,2
9469519,3913629,1
9469519,7612147,2
9469519,8932110,1
9469519,8711574,3
9469519,13858797,5
9469519,17806341,1
9469519,1869592,2
9469519,16070049,2
9469519,7935088,1
9469519,8847957,1
9469519,4876704,1
9469519,9809626,1
9469519,9889095,1
9469519,19046339,1
9469519,9291474,1
9469519,11137808,1
9469519,11210000,1
9469519,10681487,1
9469519,13713529,1
9469519,5836035,1
9469519,8413663,1
15458316,4393049,8
15458316,4679139,15
15458316,11853038,1
15458316,3844799,2
15458316,16297403,5
15458316,17327188,2
15458316,5591201,2
15458316,15556868,1
15458316,10158972,1
15458316,12842593,1
15458316,11105182,1
15458316,9119558,1
15458316,15451084,1
15458316,13832416,1
4393049,16131474,2
4393049,9741463,1
4393049,8066542,12
4393049,9707941,6
4393049,8246081,2
4393049,17896997,18
4393049,10340880,3
4393049,17013169,1
4393049,17058350,3
4393049,8419602,2
4393049,4415241,1
4393049,8509987,1
4393049,10163418,1
4393049,7421507,6
4393049,17434825,1
4393049,7971031,1
4393049,2932028,9
4393049,18142558,2
4393049,16181377,1
4393049,4116174,1
4393049,15605987,5
4393049,15683275,2
4393049,4102413,2
4393049,13863331,1
4393049,17525174,9
4393049,11826171,1
4393049,11645541,3
4393049,13986583,2
4393049,13986477,6
4393049,18220289,3
4393049,17806341,5
4393049,2935198,1
4393049,7431625,1
4393049,14604028,1
4393049,8243455,1
4393049,13038489,1
4393049,10495502,1
4393049,4099900,1
4393049,16485079,1
4393049,6692908,2
4393049,5592307,1
4393049,19276024,1
4393049,8231264,1
4393049,16735586,1
4393049,13803032,1
4393049,13858797,1
4393049,3794023,1
4393049,7503199,2
4393049,17671219,1
4393049,8723267,1
4393049,11210000,1
4393049,3538129,1
4393049,3814175,1
4393049,13369670,2
4393049,18292832,1
4393049,7020344,1
4393049,9291474,1
4393049,17913032,1
4393049,9809626,1
4393049,10169396,1
4393049,3814635,1
4393049,12842593,1
4679139,2935173,16
4679139,17913032,15
4679139,2920061,6
4679139,10627239,10
4679139,10877689,3
4679139,17588623,9
4679139,9811608,4
4679139,15638906,7
4679139,3815483,12
4679139,8812078,2
4679139,13722516,2
4679139,5038920,1
4679139,11234536,10
4679139,7431625,3
4679139,8546775,7
4679139,17328632,2
4679139,9842000,10
4679139,8544824,2
4679139,9808146,1
4679139,11210000,1
4679139,9800178,6
4679139,8305958,3
4679139,12704360,2
4679139,17756162,3
4679139,9798791,2
4679139,8705088,1
4679139,15632120,9
4679139,4127926,5
4679139,10119916,3
4679139,7422595,5
4679139,10682411,4
4679139,7569260,2
4679139,18220289,1
4679139,11851588,4
4679139,9457719,11
4679139,17980698,1
4679139,17425996,2
4679139,17827115,4
4679139,2932028,1
4679139,2935198,1
4679139,11605567,2
4679139,15683275,2
4679139,15636958,4
4679139,2920554,9
4679139,9585013,2
4679139,8842220,3
4679139,11645541,2
4679139,3158085,2
4679139,8034919,4
4679139,15638932,3
4679139,18142558,3
4679139,13429045,1
4679139,3538129,1
4679139,8245513,1
4679139,9761454,5
4679139,15732471,1
4679139,8238322,1
4679139,8307514,1
4679139,8813113,2
4679139,16181377,1
4679139,3806573,1
4679139,4679139,2
4679139,15556868,1
4679139,9291938,1
4679139,17384874,3
4679139,9287906,1
4679139,16297403,1
4679139,17654617,1
4679139,7467027,3
4679139,17671219,1
4679139,15225589,1
4679139,16434842,4
4679139,17012001,1
4679139,8932110,2
4679139,3235409,1
4679139,16369928,1
4679139,8717042,1
4679139,18292832,2
4679139,8943485,1
4679139,3765728,1
4679139,2854715,1
4679139,4101621,1
4679139,15585114,1
4679139,18644088,1
4679139,8752697,1
4679139,3814175,1
4679139,10681487,1
4679139,14760757,1
4679139,8349454,2
4679139,17415439,1
4679139,5869204,1
15592696,4393049,13
15592696,17327188,2
15592696,7934904,1
